Running HiGHS 1.14.0 (git hash: n/a): Copyright (c) 2026 under MIT licence terms
LP linopy-problem-ay19z07h has 423016 rows; 182803 cols; 929255 nonzeros
Coefficient ranges:
  Matrix  [1e-03, 6e+01]
  Cost    [2e-02, 1e+03]
  Bound   [6e+07, 6e+07]
  RHS     [8e-02, 3e+04]
WARNING: Problem has some excessively large column bounds
WARNING:    Consider scaling the    bounds by 1e-2, or setting the user_bound_scale option to -6
Presolving model
232192 rows, 173414 cols, 718581 nonzeros 0s
Dependent equations search running on 34728 equations with time limit of 1000.00s
Dependent equations search removed 0 rows and 0 nonzeros in 0.01s (limit = 1000.00s)
208236 rows, 149844 cols, 683891 nonzeros 1s
Presolve reductions: rows 208236(-214780); columns 149844(-32959); nonzeros 683891(-245364) 
Solving the presolved LP
IPX model has 208236 rows, 149844 columns and 683891 nonzeros
Input
    Number of variables:                                149844
    Number of free variables:                           13104
    Number of constraints:                              208236
    Number of equality constraints:                     34728
    Number of matrix entries:                           683891
    Matrix range:                                       [1e-03, 9e+01]
    RHS range:                                          [1e-01, 2e+04]
    Objective range:                                    [7e-06, 3e+04]
    Bounds range:                                       [8e-02, 3e+04]
Preprocessing
    Dualized model:                                     no
    Number of dense columns:                            0
    Range of scaling factors:                           [2.50e-01, 3.20e+01]
    Scaled cost norm:                                   26419.7
    Scaled bounds norm:                                 27775.5
IPX version 1.0
Interior point solve
 Iter       primal obj         dual obj       pinf       dinf       gap      time
   0   -3.18178879e+08  -9.05919690e+11   8.65e-01   9.53e-01  2.00e+00       1.4
   1    1.84184845e+10  -2.00789148e+12   5.96e-01   4.52e-01  2.04e+00       1.8
   2    3.14927902e+10  -3.79102946e+12   2.89e-01   8.52e-02  2.03e+00       3.7
   3    4.11598219e+10  -2.28356658e+12   3.85e-02   8.67e-03  2.07e+00       6.1
 Constructing starting basis...
 Iter       primal obj         dual obj       pinf       dinf       gap      time
   4    3.73498657e+10  -7.69174327e+11   8.99e-04   1.31e-03  2.20e+00      66.8
   5    1.71441430e+10  -1.55232991e+11   2.27e-05   2.46e-04  2.50e+00      80.1
   6    8.79692483e+09  -4.42776282e+10   7.58e-06   6.67e-05  2.99e+00      84.0
   7    7.39952319e+09  -2.46416645e+10   3.49e-06   2.75e-05  3.72e+00     116.3
   8    3.58599408e+09  -8.37344611e+09   1.05e-06   8.10e-06  5.00e+00     128.6
   9    2.50433699e+09  -3.84239178e+09   3.72e-07   2.15e-06  9.49e+00     132.9
  10    2.14437723e+09  -2.24672908e+09   2.53e-07   7.18e-07  8.58e+01     137.7
  11    1.61342381e+09  -1.51086659e+09   1.42e-07   3.31e-07  6.09e+01     145.9
  12    1.27958479e+09  -1.07584244e+09   8.01e-08   1.41e-07  2.31e+01     173.0
  13    9.54202516e+08  -7.08317721e+08   5.02e-08   7.49e-08  1.35e+01     205.2
