day,scenario,scenario_name,total_unserved_energy_MWh,peak_load_shedding_MW,wind_condition,transmission_setting
2025-04-08,germany_base2_notwindy,base2,0.0161494232089426,0.0006731492092612,notwindy,fixed
2025-10-06,germany_base2_windvariability,base2,0.0102920032356932,0.0004290138909334,windvariability,fixed
2025-10-26,germany_base2_windy,base2,0.0014919297669744,6.217826021220484e-05,windy,fixed
2025-04-08,germany_scenario2040-TP_notwindy,scenario2040,1023.7338628653469,251.4906026497809,notwindy,TP
2025-10-06,germany_scenario2040-TP_windvariability,scenario2040,26935.8082151952,2313.786042516193,windvariability,TP
2025-10-26,germany_scenario2040-TP_windy,scenario2040,0.0009710585549686,4.0467477368595774e-05,windy,TP
2025-04-08,germany_scenario2040-ext_notwindy,scenario2040,0.0103984530915955,0.0004335284438417,notwindy,ext
2025-10-06,germany_scenario2040-ext_windvariability,scenario2040,0.0045492008870524,0.0001897465177113,windvariability,ext
2025-10-26,germany_scenario2040-ext_windy,scenario2040,0.0001129420525267,4.707747282003385e-06,windy,ext
2025-04-08,germany_scenario2040-fixed_notwindy,scenario2040,1023.7423599126996,221.65134898403127,notwindy,fixed
2025-10-06,germany_scenario2040-fixed_windvariability,scenario2040,163261.76115220966,10839.236830540958,windvariability,fixed
2025-10-26,germany_scenario2040-fixed_windy,scenario2040,4503.151950422828,443.4800664677761,windy,fixed
