scenario,load_served_MWh,load_shedding_MWh,avg_marginal_price,max_marginal_price,total_co2_emissions,avg_line_loading_pct,max_line_loading_pct,lines_above_60pct,lines_above_70pct,total_available_mwh,total_dispatched_mwh,total_curtailed_mwh,total_capacity_mw,curtailment_share_pct,top_lines_reported,avg_top_line_loading_pct,max_top_line_loading_pct,stressed_buses_reported,total_reported_shedding_mwh,max_reported_bus_price,wind_condition,scenario_name,transmission_setting
germany_base2_notwindy,1300022.8762130735,0.0161494232089426,54.523992495872754,143.42946258664574,179627.34828188576,11.849893105841904,69.13563699735943,0,0,559805.0757613375,559670.0093289285,135.06643240900922,174917.92760899998,0.0241274040299327,5,47.36498563782675,69.13563699735943,5,6.0180123491955096e-05,143.42946258664574,notwindy,base2,fixed
germany_base2_windvariability,1368958.4066238403,0.0102920032356932,41.09950719925665,1112.25502745438,162112.50126885693,17.016473556631922,69.13554152027953,1,0,1094740.099922213,806746.2661311448,287993.8337910681,174917.92760899998,26.30705076132057,5,57.4312112436396,69.13554152027953,5,4.1636788688055706e-05,1112.25502745438,windvariability,base2,fixed
germany_base2_windy,1179664.8225402832,0.0014919297669744,14.581967994811592,253.91588328667888,36931.24374597184,15.521746534133,69.49191944358152,4,0,1918853.3509125472,1078283.6147280023,840569.7361845447,174917.92760899998,43.80583517676303,5,63.2989458216587,69.13557095110725,5,5.615813708053786e-06,253.91588328667888,windy,base2,fixed
germany_scenario2040-TP_notwindy,2042893.0911560056,1023.7338628653469,70.0909137162895,10000.009907113114,31342.377636216217,16.145011308273904,69.56152484281867,5,0,2147939.140596852,1904413.99762758,243525.1429692721,648000.0,11.33761838808912,5,64.97074044111628,69.13562155131686,5,1023.715572976435,10000.009907113114,notwindy,scenario2040,TP
germany_scenario2040-TP_windvariability,2151220.353242057,26935.8082151952,1043.4329415777208,10000.010692268872,77053.85342924582,21.34959986552401,69.59797046649734,20,0,3740152.564069322,1948081.95630666,1792070.607762663,648000.0,47.914371862223526,5,68.74628715039658,68.9876618135409,5,25875.595897122224,10000.010692268872,windvariability,scenario2040,TP
germany_scenario2040-TP_windy,1853759.007148743,0.0009710585549686,8.298323163759846,81.06388563955994,1730.0212300260778,18.58897840744844,69.13553887534518,4,0,6309331.684784827,1892852.9102908955,4416478.774493932,648000.0,69.99915355764898,5,62.71262791246134,69.13553887534518,5,3.614530572482282e-06,63.15969369492353,windy,scenario2040,TP
germany_scenario2040-ext_notwindy,2042893.091191973,0.0103984530915955,28.33669208541945,37.90767212943749,6775.308629610619,24.158133288450863,69.96624730241993,35,0,2146615.3607356683,2057288.2151612004,89327.14557446817,648000.0,4.161301889866976,5,68.75009682554649,69.857839646532,5,3.854869030404504e-05,37.90767212943749,notwindy,scenario2040,ext
germany_scenario2040-ext_windvariability,2151220.3532660347,0.0045492008870524,19.22157248080744,39.36415027346628,2199.577819002731,42.04880817404757,69.96714706525671,171,0,3741907.116844168,2354948.393547876,1386958.723296292,648000.0,37.06555721420522,5,65.26565780415338,69.92582484026345,5,1.6875476116748827e-05,35.03990429424986,windvariability,scenario2040,ext
germany_scenario2040-ext_windy,1853759.0068490163,0.0001129420525267,5.126038124395966,33.89909994785153,77.45710017869015,21.663893112485823,69.96632222893871,3,0,6307947.839417914,1898729.766757963,4409218.072659951,648000.0,69.89940603356075,5,62.1073534402572,69.93355231696921,5,4.1883968012406747e-07,18.18463073570402,windy,scenario2040,ext
germany_scenario2040-fixed_notwindy,2042893.091191973,1023.7423599126996,94.349074139925,10000.009098757151,57783.88983872467,16.834056257437947,69.75142239017646,4,0,2146615.3607356683,1808751.639744877,337863.7209907912,648000.0,15.739369389167216,5,62.77976982605031,67.85911256326423,5,1023.7157474580688,10000.009098757151,notwindy,scenario2040,fixed
germany_scenario2040-fixed_windvariability,2151220.3532660347,163261.76115220966,1971.2165798478484,10000.01033068276,106337.39019660869,21.80925578453394,69.53391199613955,16,0,3741907.116844168,1624922.705648165,2116984.411196003,648000.0,56.57501228895856,5,67.80486463314693,68.23596422227996,5,112194.27519720692,10000.01033068276,windvariability,scenario2040,fixed
germany_scenario2040-fixed_windy,1853759.0068490163,4503.151950422828,485.3149972803638,10000.01014227689,18003.881211477263,19.980112051104083,69.14793886503381,13,0,6307947.839417914,1854755.414898377,4453192.424519537,648000.0,70.59653215094545,5,67.16394124826643,69.13101518876549,5,4503.095893907424,10000.01014227689,windy,scenario2040,fixed
