scenario,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,wind_condition,scenario_name,transmission_setting
germany_base2_notwindy,DE0 190 H2,8.44545065,48.9860823,138.7544336423996,138.7544592531598,1.2064802298315408e-05,5.02700538418618e-07,2025-04-08 10:00:00,notwindy,base2,fixed
germany_base2_notwindy,DE0 190 battery,8.44545065,48.9860823,134.06361118766273,140.52124274379798,1.2059174205847445e-05,5.027942884048179e-07,2025-04-08 06:00:00,notwindy,base2,fixed
germany_base2_notwindy,DE0 190,8.44545065,48.9860823,134.03639140769977,143.42946258664574,1.2059160828096211e-05,5.029428928556215e-07,2025-04-08 06:00:00,notwindy,base2,fixed
germany_base2_notwindy,DE0 191 H2,8.6807188,51.9968419,87.72599611206483,87.72602802547789,1.2002586935916844e-05,5.001084493457287e-07,2025-04-08 03:00:00,notwindy,base2,fixed
germany_base2_notwindy,DE0 116 H2,8.64145102,48.89016029,80.96034187434545,80.9603739073341,1.1994399223779188e-05,4.997671175623602e-07,2025-04-08 11:00:00,notwindy,base2,fixed
germany_base2_windvariability,DE0 386,9.0735161,49.3119354,1087.3566828009791,1112.25502745438,8.520047910703274e-06,3.5599187564697025e-07,2025-10-06 11:00:00,windvariability,base2,fixed
germany_base2_windvariability,DE0 386 battery,9.0735161,49.3119354,1081.924673225015,1089.772268605714,8.514824091011106e-06,3.550969536940974e-07,2025-10-06 11:00:00,windvariability,base2,fixed
germany_base2_windvariability,DE0 386 H2,9.0735161,49.3119354,1044.7673395157692,1044.7673407317122,8.478688291403831e-06,3.532794664320213e-07,2025-10-06 10:00:00,windvariability,base2,fixed
germany_base2_windvariability,DE0 190,8.44545065,48.9860823,580.9645365452437,598.289025776526,8.062671380678396e-06,3.365628433995516e-07,2025-10-06 10:00:00,windvariability,base2,fixed
germany_base2_windvariability,DE0 190 battery,8.44545065,48.9860823,578.4656278624129,586.190828758302,8.060557014259096e-06,3.36133040265903e-07,2025-10-06 10:00:00,windvariability,base2,fixed
germany_base2_windy,DE0 386 H2,9.0735161,49.3119354,206.5337336347241,206.5337485692636,1.1272101136025633e-06,4.69684820766912e-08,2025-10-26 11:00:00,windy,base2,fixed
germany_base2_windy,DE0 386,9.0735161,49.3119354,203.51953073672016,253.91588328667888,1.1271592450210183e-06,4.7202670726226345e-08,2025-10-26 16:00:00,windy,base2,fixed
germany_base2_windy,DE0 386 battery,9.0735161,49.3119354,202.49224712626165,216.1769600386685,1.127138779816194e-06,4.703027521565914e-08,2025-10-26 14:00:00,windy,base2,fixed
germany_base2_windy,DE0 190 H2,8.44545065,48.9860823,120.44693400597085,120.4469699476824,1.1173856410981309e-06,4.6559226165949225e-08,2025-10-26 10:00:00,windy,base2,fixed
germany_base2_windy,DE0 190,8.44545065,48.9860823,113.94283606893104,153.91829823533055,1.1169199285158788e-06,4.672098155059841e-08,2025-10-26 17:00:00,windy,base2,fixed
germany_scenario2040-TP_notwindy,DE0 219,8.6807188,51.9968419,9858.09808108106,10000.009907113114,1023.714798348026,251.4898068916814,2025-04-08 19:00:00,notwindy,scenario2040,TP
germany_scenario2040-TP_notwindy,DE0 219 battery,8.6807188,51.9968419,9790.59077476146,9797.959543884146,0.000647924412464,2.7914539724944253e-05,2025-04-08 20:00:00,notwindy,scenario2040,TP
germany_scenario2040-TP_notwindy,DE0 219 H2,8.6807188,51.9968419,7028.309580152966,7028.309580286479,4.553623994558366e-05,1.8973433566060584e-06,2025-04-08 05:00:00,notwindy,scenario2040,TP
germany_scenario2040-TP_notwindy,DE0 76,8.93289828,52.19312945,6684.112253264696,6783.392177377747,4.08938587713911e-05,1.7534622222367309e-06,2025-04-08 05:00:00,notwindy,scenario2040,TP
germany_scenario2040-TP_notwindy,DE0 76 battery,8.93289828,52.19312945,6638.866398415047,6646.329758941128,4.027389796631605e-05,1.681797589608449e-06,2025-04-08 01:00:00,notwindy,scenario2040,TP
germany_scenario2040-TP_windvariability,DE0 198,8.31305358,49.00906475,9998.589647019422,10000.009675106854,13457.5879647634,1199.7622559782671,2025-10-06 17:00:00,windvariability,scenario2040,TP
germany_scenario2040-TP_windvariability,DE0 401,8.49096373,49.24502648,10000.009250747007,10000.00950400373,5451.535732071435,337.8533365183459,2025-10-06 09:00:00,windvariability,scenario2040,TP
