scenario,wind_condition,transmission_setting,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot
base-ext,notwindy,extendable,DE0 143 H2,7.98559438,50.84177251,59.93599630659018,59.936030574909736,9.10579467575112e-06,3.794081137792157e-07,2025-04-08 16:00:00
base-ext,notwindy,extendable,DE0 431 H2,8.0435459,50.785155,59.896023377603576,59.89605727360924,9.105762445622146e-06,3.7940677076746454e-07,2025-04-08 06:00:00
base-ext,notwindy,extendable,DE0 373 H2,7.94160838,50.84747692,59.89820685496486,59.89824111941286,9.105761104564864e-06,3.794067145254655e-07,2025-04-08 15:00:00
base-ext,notwindy,extendable,DE0 332 H2,8.04449847,50.76366381,59.889740404559916,59.88977458330696,9.105757678043612e-06,3.7940657147501855e-07,2025-04-08 07:00:00
base-ext,notwindy,extendable,DE0 89 H2,8.93289828,52.19312945,59.88316925593919,59.88320581186339,9.10574980815098e-06,3.794062437944298e-07,2025-04-08 22:00:00
base-ext,windvariability,extendable,DE0 47 H2,10.93668095,48.40134332,35.60182058283288,35.60185453636443,2.1212858866334326e-06,8.838691225102562e-08,2025-10-06 17:00:00
base-ext,windvariability,extendable,DE0 45 H2,9.01284744,47.84470229,35.58923371863367,35.58926131538871,2.121283128537823e-06,8.838679726806982e-08,2025-10-06 18:00:00
base-ext,windvariability,extendable,DE0 164 H2,10.84025994,48.23779917,35.56429502558043,35.564328748295345,2.1212780743764195e-06,8.838658673929131e-08,2025-10-06 17:00:00
base-ext,windvariability,extendable,DE0 78 H2,10.70277684,47.82643397,35.48714037794752,35.48717349347989,2.121262060103283e-06,8.838591946960047e-08,2025-10-06 17:00:00
base-ext,windvariability,extendable,DE0 180 H2,10.86345161,48.54695785,35.48451957422122,35.48455343002369,2.1212615890301982e-06,8.838589985243588e-08,2025-10-06 17:00:00
base-ext,windy,extendable,DE0 184 H2,11.86805459,48.20668527,15.329706300995744,15.329935425043683,6.28835059943241e-08,2.6201461431425986e-09,2025-10-26 16:00:00
base-ext,windy,extendable,DE0 69 H2,11.81301418,48.22131789,15.298685205334882,15.298910781783146,6.288330147177913e-08,2.6201376204293603e-09,2025-10-26 17:00:00
base-ext,windy,extendable,DE0 261 H2,12.29687422,48.60692013,15.27400746302755,15.274227927549195,6.288315289388486e-08,2.6201314283327944e-09,2025-10-26 17:00:00
base-ext,windy,extendable,DE0 26 H2,11.37066239,48.29133163,15.245751533584098,15.245973530402054,6.288297377234755e-08,2.6201239653329584e-09,2025-10-26 17:00:00
