,line_id,average_loading_across_runs,scenario,transmission_setting
0,10,69.44720836684593,scenario1,fixed
1,103,61.441783150224914,scenario1,fixed
2,119,69.92000441039045,scenario1,fixed
3,178,68.68545890167218,scenario1,fixed
4,22,64.82438572182608,scenario1,fixed
5,343,68.86240665435076,scenario1,fixed
6,344,69.0293154005681,scenario1,fixed
7,383,63.29745358280272,scenario1,fixed
8,412,69.90056628619024,scenario1,fixed
9,45,66.013650882933,scenario1,fixed
10,47,69.25110213934326,scenario1,fixed
11,475,65.87572369075967,scenario1,fixed
12,476,64.64387787945999,scenario1,fixed
13,507,65.11323907624619,scenario1,fixed
14,520,69.90495930464476,scenario1,fixed
15,590,65.64062489777345,scenario1,fixed
16,60,69.55890604779907,scenario1,fixed
17,605,68.98439800901635,scenario1,fixed
18,612,63.30469925024676,scenario1,fixed
19,622,69.41259771718757,scenario1,fixed
20,66,69.70090404869683,scenario1,fixed
21,84,66.62236463674469,scenario1,fixed
22,94,69.18211334448756,scenario1,fixed
23,99,66.05486646059208,scenario1,fixed
