line_id,bus0,bus1,number_of_networks_congested,list_of_networks_congested,average_loading_across_networks,maximum_loading_across_networks,min_loading_across_networks,loading_change_vs_fixed,line_length,carrier,bus0_x,bus0_y,country,x_coordinate,y_coordinate
207,DE0 169,DE0 200,4,"scenario2040-ext_notwindy_extendable, scenario2040-fixed_notwindy_fixed, scenario2040-fixed_windvariability_fixed, scenario2040-fixed_windy_fixed",66.32,67.86,63.86,1.85,41.72234746582609,AC,9.44693531,49.59024813,DE,,
300,DE0 204,DE0 367,4,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed, scenario2040-fixed_windy_fixed",64.26,68.0,60.86,0.94,34.076839030999615,AC,10.66450407,49.9800575,DE,,
66,DE0 117,DE0 227,4,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable, scenario2040-ext_windy_extendable, scenario2040-fixed_windvariability_fixed",64.16,69.08,60.35,-3.58,35.2017216021361,AC,6.9670047,52.0076022,DE,,
127,DE0 138,DE0 204,3,"scenario2040-TP_notwindy_projects, scenario2040-TP_windvariability_projects, scenario2040-TP_windy_projects",68.01,68.81,66.41,,1.6382135119230992,AC,9.39015373,52.02667139,DE,,
208,DE0 169,DE0 367,3,"scenario2040-ext_notwindy_extendable, scenario2040-fixed_notwindy_fixed, scenario2040-fixed_windy_fixed",66.48,67.43,64.57,-2.85,68.70260181298393,AC,9.44693531,49.59024813,DE,,
618,DE0 50,DE0 99,3,"scenario2040-ext_notwindy_extendable, scenario2040-fixed_notwindy_fixed, scenario2040-fixed_windy_fixed",66.01,68.92,62.06,6.86,75.66141125855432,AC,10.11694164,48.8971347,DE,,
169,DE0 156,DE0 48,3,"base2_windy_fixed, scenario2040-ext_notwindy_extendable, scenario2040-fixed_windy_fixed",64.74,67.12,63.46,-0.19,24.664619358207478,AC,10.99935198,52.20014332,DE,,
538,DE0 34,DE0 81,3,"scenario2040-TP_notwindy_projects, scenario2040-TP_windvariability_projects, scenario2040-TP_windy_projects",63.62,63.89,63.36,,3.8656310712504114,AC,6.57724345,49.769646,DE,,
45,DE0 111,DE0 435,3,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",62.93,66.24,60.26,-4.96,21.694334814078672,AC,8.36487768,51.92729017,DE,,
98,DE0 13,DE0 329,3,"base2_windvariability_fixed, scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",62.63,62.74,62.52,-0.13,38.208492875279354,AC,11.80761134,48.45542373,DE,,
168,DE0 156,DE0 22,3,"scenario2040-ext_notwindy_extendable, scenario2040-fixed_notwindy_fixed, scenario2040-fixed_windy_fixed",62.25,65.17,60.44,4.06,44.20486824384363,AC,10.99935198,52.20014332,DE,,
189,DE0 161,DE0 68,3,"base2_windy_fixed, scenario2040-TP_notwindy_projects, scenario2040-ext_notwindy_extendable",61.91,64.48,60.03,1.05,66.62569065673907,AC,10.41387335,53.41293643,DE,,
622,DE0 61,DE0 96,2,"base2_windy_fixed, scenario2040-fixed_windvariability_fixed",67.03,68.24,65.82,,70.3190124626766,AC,11.89471336,51.40650196,DE,,
625,DE0 71,DE0 96,2,"scenario2040-ext_notwindy_extendable, scenario2040-fixed_windy_fixed",66.43,66.5,66.37,0.13,51.561980732668204,AC,10.38635072,51.00215032,DE,,
254,DE0 184,DE0 295,2,"scenario2040-TP_windvariability_projects, scenario2040-ext_notwindy_extendable",66.28,67.71,64.84,,4.353563129304363,AC,10.0649229,48.2726348,DE,,
105,DE0 131,DE0 71,2,"scenario2040-ext_notwindy_extendable, scenario2040-fixed_windy_fixed",65.48,65.6,65.36,-0.24,45.822041985413854,AC,9.74603333,50.91755925,DE,,
179,DE0 157,DE0 3,2,"scenario2040-TP_notwindy_projects, scenario2040-ext_windvariability_extendable",65.16,67.05,63.27,,17.438726138082554,AC,8.58857704,49.81584445,DE,,
106,DE0 131,DE0 96,2,"scenario2040-ext_notwindy_extendable, scenario2040-fixed_windy_fixed",65.15,65.92,64.37,-1.55,96.87629108606933,AC,9.74603333,50.91755925,DE,,
99,DE0 13,DE0 69,2,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable",64.76,67.46,62.07,,26.03444472209066,AC,11.80761134,48.45542373,DE,,
388,DE0 249,DE0 36,2,"scenario2040-ext_windy_extendable, scenario2040-fixed_windy_fixed",64.75,67.4,62.1,5.3,13.418404467981928,AC,6.6481563,50.8671638,DE,,
10,DE0 1,DE0 150,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",64.63,67.89,61.36,-6.53,66.04073109854822,AC,9.25949541,51.06137445,DE,,
60,DE0 115,DE0 46,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",64.26,67.2,61.31,-5.89,52.351995800291256,AC,11.64586648,50.53438273,DE,,
178,DE0 16,DE0 304,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",63.94,64.84,63.04,-1.8,5.855181800775932,AC,8.58857704,49.81584445,DE,,
103,DE0 131,DE0 33,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",63.92,65.72,62.12,-3.6,43.267880678401376,AC,9.74603333,50.91755925,DE,,
188,DE0 161,DE0 4,2,"base2_windy_fixed, scenario2040-fixed_windy_fixed",63.51,66.46,60.57,,23.048144803782876,AC,10.41387335,53.41293643,DE,,
507,DE0 318,DE0 392,2,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable",63.5,64.55,62.45,,12.048788706892347,AC,7.5430412,51.4531881,DE,,
272,DE0 191,DE0 322,2,"scenario2040-TP_windvariability_projects, scenario2040-ext_windvariability_extendable",63.37,64.0,62.74,,8.274622093747462,AC,6.99834094,51.24855969,DE,,
301,DE0 204,DE0 46,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windy_fixed",63.23,65.33,61.13,-4.19,42.85001199679772,AC,10.66450407,49.9800575,DE,,
335,DE0 222,DE0 292,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",63.13,63.62,62.64,0.99,23.37851893649708,AC,8.41893027,49.63345581,DE,,
617,DE0 46,DE0 94,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windy_fixed",62.95,63.49,62.41,-1.09,36.48441105362498,AC,11.19334325,50.16251904,DE,,
22,DE0 102,DE0 46,2,"scenario2040-ext_windvariability_extendable, scenario2040-fixed_windvariability_fixed",62.94,63.23,62.64,0.59,47.937983015071836,AC,10.99111786,50.57388699,DE,,
298,DE0 203,DE0 227,2,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable",61.88,63.76,60.01,,53.59508469341852,AC,7.01123027,52.17730292,DE,,
52,DE0 113,DE0 343,2,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable",61.81,62.13,61.48,,3.3219457571354463,AC,8.95882952,50.08272666,DE,,
166,DE0 150,DE0 410,2,"scenario2040-TP_notwindy_projects, scenario2040-ext_windvariability_extendable",61.81,62.72,60.9,,11.15085587918329,AC,8.50191528,49.44494142,DE,,
50,DE0 113,DE0 251,2,"scenario2040-ext_notwindy_extendable, scenario2040-ext_windvariability_extendable",60.66,61.26,60.06,,17.95309004355567,AC,8.95882952,50.08272666,DE,,
497,DE0 302,DE0 7,1,scenario2040-TP_windvariability_projects,68.98,68.98,68.98,,2.969557584994086,AC,8.66370967,49.36006598,DE,,
163,DE0 153,DE0 40,1,scenario2040-ext_notwindy_extendable,68.97,68.97,68.97,,22.330538061672158,AC,9.70438958,48.46492319,DE,,
255,DE0 188,DE0 40,1,scenario2040-ext_notwindy_extendable,68.77,68.77,68.77,,13.729059259861534,AC,10.0649229,48.2726348,DE,,
118,DE0 134,DE0 65,1,scenario2040-TP_windvariability_projects,68.68,68.68,68.68,,10.858663086244132,AC,7.26879235,52.65592641,DE,,
152,DE0 146,DE0 69,1,scenario2040-TP_windvariability_projects,68.65,68.65,68.65,,63.84959603421265,AC,8.2592751,47.63413338,DE,,
525,DE0 324,DE0 66,1,scenario2040-TP_windvariability_projects,68.62,68.62,68.62,,1.5338522236723362,AC,8.8342098,48.9281594,DE,,
355,DE0 23,DE0 57,1,scenario2040-fixed_windvariability_fixed,67.84,67.84,67.84,,65.0974420931919,AC,12.11677325,49.63225508,DE,,
546,DE0 345,DE0 93,1,scenario2040-TP_windvariability_projects,67.32,67.32,67.32,,69.42015114118963,AC,13.6798066,52.5846884,DE,,
53,DE0 113,DE0 35,1,scenario2040-ext_notwindy_extendable,67.3,67.3,67.3,,15.767801086842324,AC,8.95882952,50.08272666,DE,,
