scenario,wind_condition,transmission_setting,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot
base2,windvariability,fixed,DE0 386,9.0735161,49.3119354,1087.3566828009791,1112.25502745438,8.520047910703274e-06,3.5599187564697025e-07,2025-10-06 11:00:00
base2,windvariability,fixed,DE0 386 battery,9.0735161,49.3119354,1081.924673225015,1089.772268605714,8.514824091011106e-06,3.550969536940974e-07,2025-10-06 11:00:00
base2,windvariability,fixed,DE0 386 H2,9.0735161,49.3119354,1044.7673395157692,1044.7673407317122,8.478688291403831e-06,3.5327946643202123e-07,2025-10-06 10:00:00
base2,windvariability,fixed,DE0 190,8.44545065,48.9860823,580.9645365452437,598.289025776526,8.062671380678396e-06,3.3656284339955156e-07,2025-10-06 10:00:00
base2,windvariability,fixed,DE0 190 battery,8.44545065,48.9860823,578.4656278624129,586.190828758302,8.060557014259096e-06,3.3613304026590296e-07,2025-10-06 10:00:00
base2,windy,fixed,DE0 386 H2,9.0735161,49.3119354,206.53373363472406,206.5337485692636,1.1272101136025633e-06,4.69684820766912e-08,2025-10-26 11:00:00
base2,windy,fixed,DE0 386,9.0735161,49.3119354,203.51953073672016,253.91588328667888,1.1271592450210185e-06,4.720267072622634e-08,2025-10-26 16:00:00
base2,windy,fixed,DE0 386 battery,9.0735161,49.3119354,202.49224712626165,216.17696003866854,1.127138779816194e-06,4.703027521565914e-08,2025-10-26 14:00:00
base2,windy,fixed,DE0 190 H2,8.44545065,48.9860823,120.44693400597085,120.4469699476824,1.1173856410981307e-06,4.6559226165949225e-08,2025-10-26 10:00:00
base2,windy,fixed,DE0 190,8.44545065,48.9860823,113.94283606893104,153.91829823533055,1.1169199285158788e-06,4.672098155059841e-08,2025-10-26 17:00:00
