scenario,carrier,available_mwh,dispatched_mwh,curtailed_mwh,capacity_mw,curtailment_share_pct,scenario_name,transmission_setting,wind_condition
germany_base2_notwindy,offwind-ac,8316.629597688581,8316.624030500403,0.0055671881776975,11163.743,6.694043677555146e-05,base2,fixed,notwindy
germany_base2_notwindy,onwind,49435.39764776793,49434.99881604699,0.3988317209439742,73332.0659,0.0008067735669604,base2,fixed,notwindy
germany_base2_notwindy,ror,63871.88354682971,63869.59549770799,2.2880491217206327,4014.118709,0.0035822477664105,base2,fixed,notwindy
germany_base2_notwindy,solar,438181.1649690513,438048.79098467313,132.3739843781669,86407.99999999999,0.0302098754946521,base2,fixed,notwindy
germany_base2_windvariability,offwind-ac,173568.7610145298,69168.04914079647,104400.71187373332,11163.743,60.14948269694321,base2,fixed,windvariability
germany_base2_windvariability,onwind,804830.798401218,627686.4305739396,177144.36782727833,73332.0659,22.010137805259497,base2,fixed,windvariability
germany_base2_windvariability,ror,26219.26305273432,26076.92471487341,142.3383378609085,4014.118709,0.5428769587254456,base2,fixed,windvariability
germany_base2_windvariability,solar,90121.27745373089,83814.86170153534,6306.415752195546,86407.99999999999,6.997699023333662,base2,fixed,windvariability
germany_base2_windy,offwind-ac,236217.4803471033,37499.90005252877,198717.5802945745,11163.743,84.12484122791184,base2,fixed,windy
germany_base2_windy,onwind,1520776.2036497495,891757.6626322358,629018.5410175135,73332.0659,41.36167698494466,base2,fixed,windy
germany_base2_windy,ror,40079.38368937722,39367.55897783312,711.8247115440881,4014.118709,1.7760370694840617,base2,fixed,windy
germany_base2_windy,solar,121780.28322631732,109658.49306540462,12121.79016091271,86407.99999999999,9.95381997789042,base2,fixed,windy
