scenario,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,scenario_name,transmission_setting,wind_condition
germany_base2_notwindy,DE0 190 H2,8.44545065,48.9860823,138.7544336423996,138.7544592531598,1.2064802298315408e-05,5.02700538418618e-07,2025-04-08 10:00:00,base2,fixed,notwindy
germany_base2_notwindy,DE0 190 battery,8.44545065,48.9860823,134.06361118766273,140.52124274379798,1.2059174205847445e-05,5.027942884048179e-07,2025-04-08 06:00:00,base2,fixed,notwindy
germany_base2_notwindy,DE0 190,8.44545065,48.9860823,134.03639140769977,143.42946258664574,1.2059160828096211e-05,5.029428928556215e-07,2025-04-08 06:00:00,base2,fixed,notwindy
germany_base2_notwindy,DE0 191 H2,8.6807188,51.9968419,87.72599611206483,87.72602802547789,1.2002586935916844e-05,5.001084493457287e-07,2025-04-08 03:00:00,base2,fixed,notwindy
germany_base2_notwindy,DE0 116 H2,8.64145102,48.89016029,80.96034187434545,80.9603739073341,1.1994399223779188e-05,4.997671175623602e-07,2025-04-08 11:00:00,base2,fixed,notwindy
germany_base2_windvariability,DE0 386,9.0735161,49.3119354,1087.3566828009791,1112.25502745438,8.520047910703274e-06,3.5599187564697025e-07,2025-10-06 11:00:00,base2,fixed,windvariability
germany_base2_windvariability,DE0 386 battery,9.0735161,49.3119354,1081.924673225015,1089.772268605714,8.514824091011106e-06,3.550969536940974e-07,2025-10-06 11:00:00,base2,fixed,windvariability
germany_base2_windvariability,DE0 386 H2,9.0735161,49.3119354,1044.7673395157692,1044.7673407317122,8.478688291403831e-06,3.532794664320213e-07,2025-10-06 10:00:00,base2,fixed,windvariability
germany_base2_windvariability,DE0 190,8.44545065,48.9860823,580.9645365452437,598.289025776526,8.062671380678396e-06,3.365628433995516e-07,2025-10-06 10:00:00,base2,fixed,windvariability
germany_base2_windvariability,DE0 190 battery,8.44545065,48.9860823,578.4656278624129,586.190828758302,8.060557014259096e-06,3.36133040265903e-07,2025-10-06 10:00:00,base2,fixed,windvariability
germany_base2_windy,DE0 386 H2,9.0735161,49.3119354,206.5337336347241,206.5337485692636,1.1272101136025633e-06,4.69684820766912e-08,2025-10-26 11:00:00,base2,fixed,windy
germany_base2_windy,DE0 386,9.0735161,49.3119354,203.51953073672016,253.91588328667888,1.1271592450210183e-06,4.7202670726226345e-08,2025-10-26 16:00:00,base2,fixed,windy
germany_base2_windy,DE0 386 battery,9.0735161,49.3119354,202.49224712626165,216.1769600386685,1.127138779816194e-06,4.7030275215659144e-08,2025-10-26 14:00:00,base2,fixed,windy
germany_base2_windy,DE0 190 H2,8.44545065,48.9860823,120.44693400597085,120.4469699476824,1.1173856410981309e-06,4.6559226165949225e-08,2025-10-26 10:00:00,base2,fixed,windy
germany_base2_windy,DE0 190,8.44545065,48.9860823,113.94283606893104,153.91829823533055,1.1169199285158788e-06,4.672098155059841e-08,2025-10-26 17:00:00,base2,fixed,windy
