day,scenario,load_shedding_MWh,curtailment_MWh,congestion_hours,avg_price_eur_per_MWh,temporal_price_spread_eur_per_MWh,avg_spatial_price_spread_eur_per_MWh
2025-04-08,base-ext - notwindy - extendable,0.012282845146881098,0.8286576532073793,0,48.211210158163226,34.0463390143819,15.918149496584087
2025-10-06,base-ext - windvariability - extendable,0.002860137194342328,32262.31460250888,0,19.576288203776098,20.525264028908275,25.255696866438367
2025-10-26,base-ext - windy - extendable,8.480505050962869e-05,514237.50478121795,0,0.9433867890084513,10.947549439298145,15.862850165629572
2025-04-08,base2 - notwindy - fixed,0.01614942320894268,132.77281609909613,0,52.03196012731281,27.55826565585417,124.51645653933582
2025-10-06,base2 - windvariability - fixed,0.010292003235693209,183450.7835794739,0,46.48241108801806,19.25969521044344,1125.963054185963
2025-10-26,base2 - windy - fixed,0.0014919297669744457,641140.3311784262,0,12.746300724270226,10.918411975118518,233.8008740000963
2025-04-08,baseTP - notwindy - projects,0.01123305678998614,0.7363272232622065,0,49.24984615047351,28.246426409340238,55.72261934735147
2025-10-06,baseTP - windvariability - projects,0.005589853770310978,84358.45869090248,0,24.321675482827896,23.325797781207637,79.82246849408283
2025-10-26,baseTP - windy - projects,0.00010932026248030823,612211.719498317,0,3.25094944039788,5.023472856759476,75.2453046891698
2025-04-08,scenario-ext - notwindy - extendable + projects,0.003871173771612165,0.2686169576729285,0,48.010684119767966,34.49589378763889,15.33188058472624
2025-10-06,scenario-ext - windvariability - extendable + projects,0.003224449777748743,44334.24596222717,0,19.096550779608407,25.318241773497586,22.221413368875734
2025-10-26,scenario-ext - windy - extendable + projects,2.9767614548369145e-05,527157.4721239235,0,0.6062331249382379,9.355155252543089,14.862346753514212
2025-04-08,scenario2040-TP - notwindy - projects,1023.7338628653466,242298.29967264735,0,98.49727896149365,39.68412231712922,9914.396685236026
2025-10-06,scenario2040-TP - windvariability - projects,26935.808215195193,974493.4393900381,0,1686.8350940609992,79.57166950929172,10035.833911662376
2025-10-26,scenario2040-TP - windy - projects,0.0009710585549686697,3097491.524450415,0,5.826908549756422,8.783219516769801,88.0044257267257
2025-04-08,scenario2040-ext - notwindy - extendable,0.010398453091595563,89250.08978600762,0,23.953610520129246,33.836172581977024,19.254637194110146
2025-10-06,scenario2040-ext - windvariability - extendable,0.004549200887052412,731207.4170371395,0,16.25450488075442,29.73091777241508,33.0823874783089
2025-10-26,scenario2040-ext - windy - extendable,0.00011294205252676107,3065229.9846377852,0,1.1310724337749165,10.880599770222712,19.630772240172504
2025-04-08,scenario2040-fixed - notwindy - fixed,1023.7423599126993,335000.4121695526,0,128.8990101320763,39.883142650835495,9953.339572422195
2025-10-06,scenario2040-fixed - windvariability - fixed,163261.76115220974,1171099.7676361008,0,2918.7255422703474,71.49053620259929,10035.586742220932
2025-10-26,scenario2040-fixed - windy - fixed,4503.151950422829,3080154.8718508272,0,623.1020423291324,39.918262420540714,9966.989822774043
