,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,scenario,wind_condition,transmission_setting
0,DE0 190 H2,8.44545065,48.9860823,138.7544336423996,138.7544592531598,1.2064802298315408e-05,5.02700538418618e-07,2025-04-08 10:00:00,base2,notwindy,fixed
1,DE0 190 battery,8.44545065,48.9860823,134.06361118766273,140.52124274379798,1.2059174205847445e-05,5.027942884048179e-07,2025-04-08 06:00:00,base2,notwindy,fixed
2,DE0 190,8.44545065,48.9860823,134.03639140769977,143.42946258664574,1.2059160828096213e-05,5.029428928556215e-07,2025-04-08 06:00:00,base2,notwindy,fixed
3,DE0 191 H2,8.6807188,51.9968419,87.72599611206483,87.72602802547789,1.2002586935916844e-05,5.001084493457287e-07,2025-04-08 03:00:00,base2,notwindy,fixed
4,DE0 116 H2,8.64145102,48.89016029,80.96034187434545,80.9603739073341,1.1994399223779187e-05,4.997671175623602e-07,2025-04-08 11:00:00,base2,notwindy,fixed
5,DE0 191,8.6807188,51.9968419,79.06609943199244,123.5859157710138,1.1992230100391558e-05,5.019242968454903e-07,2025-04-08 05:00:00,base2,notwindy,fixed
6,DE0 89 H2,8.93289828,52.19312945,78.77452435323161,78.774553119501,1.1991745567492175e-05,4.996563895584703e-07,2025-04-08 06:00:00,base2,notwindy,fixed
7,DE0 191 battery,8.6807188,51.9968419,77.84755658692424,88.48457342522897,1.1990727411819268e-05,5.00148805784874e-07,2025-04-08 05:00:00,base2,notwindy,fixed
8,DE0 446 H2,9.3940779,48.7181752,76.72022248083546,76.72024064511498,1.1989256036741694e-05,4.995528008549793e-07,2025-04-08 12:00:00,base2,notwindy,fixed
9,DE0 185 H2,8.79075963,48.94797138,76.71287570380821,76.71290921195889,1.198925366885124e-05,4.99552733821193e-07,2025-04-08 11:00:00,base2,notwindy,fixed
10,DE0 441 H2,8.8219795,48.9393723,76.45843109407674,76.45846497214472,1.1988953940633222e-05,4.995402140416027e-07,2025-04-08 12:00:00,base2,notwindy,fixed
11,DE0 333 H2,8.8342098,48.9281594,76.30477183253316,76.30480597282397,1.1988762160529825e-05,4.995322081662183e-07,2025-04-08 12:00:00,base2,notwindy,fixed
12,DE0 129 H2,8.321627,49.0416916,76.08249786650812,76.08255290874294,1.1988464999468756e-05,4.995197378306e-07,2025-04-08 12:00:00,base2,notwindy,fixed
13,DE0 331 H2,9.3025725,48.8831812,74.5688052489854,74.56883661944595,1.198665024293172e-05,4.99444194245805e-07,2025-04-08 12:00:00,base2,notwindy,fixed
14,DE0 27 H2,9.04561339,48.90286326,74.56078493699154,74.5608208032558,1.1986639493699714e-05,4.994437524660893e-07,2025-04-08 12:00:00,base2,notwindy,fixed
15,DE0 421 H2,9.2936083,48.8663492,74.5431553456459,74.54318711651845,1.1986631591640163e-05,4.994434097230524e-07,2025-04-08 12:00:00,base2,notwindy,fixed
16,DE0 84 H2,9.21591042,48.85227651,74.19357465275351,74.19360882882374,1.1986213895602624e-05,4.994259866143006e-07,2025-04-08 12:00:00,base2,notwindy,fixed
17,DE0 447 H2,9.0757491,48.9457539,74.16706566905343,74.16710202227543,1.1986172873927616e-05,4.994242835215579e-07,2025-04-08 12:00:00,base2,notwindy,fixed
