scenario,wind_condition,transmission_setting,line_id,bus0,bus1,average_loading_pct,max_loading_pct,hours_above_60,hours_above_70
base2,notwindy,fixed,99,DE0 13,DE0 69,52.28278054414508,52.28279080978796,0.0,0.0
base2,notwindy,fixed,169,DE0 156,DE0 48,51.61306163912411,69.13563699735943,9.0,0.0
base2,notwindy,fixed,168,DE0 156,DE0 22,49.92278689386827,66.52078233628414,5.0,0.0
base2,notwindy,fixed,235,DE0 18,DE0 282,42.173620856282,47.53373921391613,0.0,0.0
base2,notwindy,fixed,248,DE0 184,DE0 329,40.832678255714264,56.01187597210456,0.0,0.0
base2,windvariability,fixed,98,DE0 13,DE0 329,62.64867585792734,62.73519438907539,24.0,0.0
base2,windvariability,fixed,248,DE0 184,DE0 329,57.20002681501965,59.038233355680916,0.0,0.0
base2,windvariability,fixed,169,DE0 156,DE0 48,56.38838549316931,69.13554152027953,11.0,0.0
base2,windvariability,fixed,622,DE0 61,DE0 96,56.221647391009135,68.23615824161587,15.0,0.0
base2,windvariability,fixed,60,DE0 115,DE0 46,54.697320661072546,64.68884258608315,10.0,0.0
base2,windy,fixed,188,DE0 161,DE0 4,66.45547591516357,68.4872784129128,22.0,0.0
base2,windy,fixed,622,DE0 61,DE0 96,65.81780094226708,68.2361602820685,20.0,0.0
base2,windy,fixed,169,DE0 156,DE0 48,63.6502677518552,69.13557095110725,17.0,0.0
base2,windy,fixed,189,DE0 161,DE0 68,61.20320473887233,67.65162232935614,13.0,0.0
base2,windy,fixed,187,DE0 161,DE0 230,59.36797976013531,66.19145962031136,11.0,0.0
baseTP,notwindy,projects,127,DE0 138,DE0 204,52.19328597841565,68.80648825636374,13.0,0.0
baseTP,notwindy,projects,1,DE0 0,DE0 86,48.62469659755105,48.636187946725116,0.0,0.0
baseTP,notwindy,projects,271,DE0 191,DE0 269,47.21356548969358,52.28277801146155,0.0,0.0
baseTP,notwindy,projects,538,DE0 34,DE0 81,40.37817317617474,69.13564376560954,4.0,0.0
baseTP,notwindy,projects,447,DE0 276,DE0 39,39.204994340944666,46.359635336226404,0.0,0.0
baseTP,windvariability,projects,127,DE0 138,DE0 204,68.80647876736168,68.80649493013003,24.0,0.0
baseTP,windvariability,projects,280,DE0 195,DE0 54,66.73332069914922,68.85909482618504,22.0,0.0
baseTP,windvariability,projects,454,DE0 279,DE0 3,60.993638109906044,62.71001819976898,19.0,0.0
baseTP,windvariability,projects,137,DE0 14,DE0 54,60.75397828590795,66.74204022215051,16.0,0.0
baseTP,windvariability,projects,308,DE0 204,DE0 82,57.25579844883221,66.19576141489314,13.0,0.0
baseTP,windy,projects,127,DE0 138,DE0 204,68.80644014342762,68.806482408427,24.0,0.0
baseTP,windy,projects,425,DE0 264,DE0 305,61.46083570438891,66.52321083017111,15.0,0.0
baseTP,windy,projects,87,DE0 125,DE0 34,61.41269205514167,67.28497190986367,17.0,0.0
baseTP,windy,projects,538,DE0 34,DE0 81,60.93244138131095,69.13562469892334,15.0,0.0
baseTP,windy,projects,454,DE0 279,DE0 3,55.4863736817922,64.35365153187877,11.0,0.0
scenario-ext,notwindy,extendable,447,DE0 276,DE0 39,53.62602326940804,69.71561260060977,10.0,0.0
scenario-ext,notwindy,extendable,271,DE0 191,DE0 269,53.49351430036803,69.57369028799087,12.0,0.0
scenario-ext,notwindy,extendable,66,DE0 12,DE0 321,49.70957400965898,69.8200698009734,6.0,0.0
scenario-ext,notwindy,extendable,510,DE0 311,DE0 66,49.51474141819484,69.86087610491029,16.0,0.0
scenario-ext,notwindy,extendable,600,DE0 399,DE0 66,49.26528343815617,67.23425046297302,7.0,0.0
scenario-ext,windvariability,extendable,99,DE0 13,DE0 69,60.20310022009841,69.54066663434776,15.0,0.0
scenario-ext,windvariability,extendable,173,DE0 158,DE0 389,60.190023760710645,69.34897917791923,14.0,0.0
scenario-ext,windvariability,extendable,235,DE0 18,DE0 282,59.72025139180857,69.8636278978436,15.0,0.0
scenario-ext,windvariability,extendable,449,DE0 282,DE0 365,58.856629088753735,69.88392503240904,14.0,0.0
scenario-ext,windvariability,extendable,472,DE0 292,DE0 430,58.578566738581806,69.8626066738299,11.0,0.0
scenario-ext,windy,extendable,398,DE0 250,DE0 317,68.50150849112465,69.81631089709133,24.0,0.0
scenario-ext,windy,extendable,523,DE0 323,DE0 66,67.4811766139714,69.49113552083858,21.0,0.0
scenario-ext,windy,extendable,287,DE0 198,DE0 335,66.2137355838664,69.66018940136041,19.0,0.0
scenario-ext,windy,extendable,284,DE0 197,DE0 57,65.66167087470359,69.40677000525254,21.0,0.0
scenario-ext,windy,extendable,635,DE0 56,DE0 72,65.64654093067962,68.12455007189293,21.0,0.0
scenario1,notwindy,fixed,240,DE0 181,DE0 250,29.282313296139463,69.3442797283703,6.0,0.0
scenario1,notwindy,fixed,99,DE0 13,DE0 69,28.844582769162603,67.77956738249175,4.0,0.0
scenario1,notwindy,fixed,84,DE0 124,DE0 374,26.13631406826039,50.067795561556615,0.0,0.0
scenario1,notwindy,fixed,66,DE0 117,DE0 227,22.89931820026694,36.16859316716816,0.0,0.0
scenario1,notwindy,fixed,169,DE0 156,DE0 48,22.379173613418928,54.9197796104129,0.0,0.0
scenario1,windvariability,fixed,84,DE0 124,DE0 374,69.97958100582062,69.97958111691452,24.0,0.0
scenario1,windvariability,fixed,545,DE0 350,DE0 423,69.9743509162397,69.9746875136741,24.0,0.0
scenario1,windvariability,fixed,167,DE0 155,DE0 292,69.97163500184564,69.9716350201397,24.0,0.0
scenario1,windvariability,fixed,291,DE0 202,DE0 298,69.92320147701557,69.9232088699084,24.0,0.0
scenario1,windvariability,fixed,119,DE0 136,DE0 317,69.92001111973111,69.92001137712478,24.0,0.0
scenario1,windy,fixed,119,DE0 136,DE0 317,69.91999770104978,69.92000640107858,24.0,0.0
scenario1,windy,fixed,520,DE0 330,DE0 362,69.90496089143218,69.9049610945533,24.0,0.0
scenario1,windy,fixed,412,DE0 264,DE0 339,69.90054241564513,69.9005939364266,24.0,0.0
scenario1,windy,fixed,47,DE0 112,DE0 349,69.86008632353456,69.96921569851531,24.0,0.0
scenario1,windy,fixed,470,DE0 292,DE0 326,69.85834823383296,69.85834898731757,24.0,0.0
scenario2,notwindy,fixed,167,DE0 155,DE0 292,69.97161682826504,69.97162752077996,24.0,0.0
scenario2,notwindy,fixed,520,DE0 330,DE0 362,69.90494947598603,69.90495096632291,24.0,0.0
scenario2,notwindy,fixed,99,DE0 13,DE0 69,69.777747453778,69.77781306749661,24.0,0.0
scenario2,notwindy,fixed,119,DE0 136,DE0 317,48.79370012378782,69.91999724437599,5.0,0.0
scenario2,notwindy,fixed,248,DE0 184,DE0 329,47.076599442111586,56.441177437051756,0.0,0.0
scenario2,windvariability,fixed,167,DE0 155,DE0 292,69.97163039420742,69.97163179568776,24.0,0.0
scenario2,windvariability,fixed,520,DE0 330,DE0 362,69.90495585729663,69.90495627611374,24.0,0.0
scenario2,windvariability,fixed,178,DE0 16,DE0 304,69.84860280459445,69.84860742643822,24.0,0.0
scenario2,windvariability,fixed,99,DE0 13,DE0 69,69.77782608174921,69.77782718684196,24.0,0.0
scenario2,windvariability,fixed,66,DE0 117,DE0 227,69.70093386426277,69.7009347637441,24.0,0.0
scenario2,windy,fixed,119,DE0 136,DE0 317,69.91996441312747,69.91998846351851,24.0,0.0
scenario2,windy,fixed,520,DE0 330,DE0 362,69.90496040736713,69.90496059151197,24.0,0.0
scenario2,windy,fixed,412,DE0 264,DE0 339,69.90055071845424,69.9005933273683,24.0,0.0
scenario2,windy,fixed,66,DE0 117,DE0 227,69.70087881574753,69.70093492368032,24.0,0.0
scenario2,windy,fixed,60,DE0 115,DE0 46,69.55890525035541,69.55890613673499,24.0,0.0
